date,open,high,low,close,volume
2021-03-26 02:30:00,787.03,792.72,771.24,775.03,55649.0
2021-03-30 02:30:00,775.03,785.14,775.03,778.19,51438.0
2021-03-31 02:30:00,778.19,783.24,776.93,780.72,97016.0
2021-04-01 02:30:00,782.62,824.3,781.98,817.35,187475.0
2021-04-02 02:30:00,817.35,832.51,808.51,810.41,107609.0
2021-04-05 02:30:00,850.83,850.83,816.72,831.25,183452.0
2021-04-06 02:30:00,830.62,841.36,823.04,830.62,117881.0
2021-04-07 02:30:00,829.98,836.3,821.14,828.09,103143.0
2021-04-08 02:30:00,827.46,842.62,827.46,831.88,98854.0
2021-04-09 02:30:00,836.94,845.78,831.25,840.09,134432.0
2021-04-13 02:30:00,843.88,859.04,833.77,851.46,182723.0
2021-04-14 02:30:00,809.14,872.3,809.14,871.67,209373.0
2021-04-16 02:30:00,915.26,915.26,852.73,865.36,168272.0
2021-04-19 02:30:00,865.36,865.36,840.09,843.25,173524.0
2021-04-20 02:30:00,849.57,849.57,827.46,832.51,142099.0
2021-04-21 02:30:00,832.51,848.94,824.3,830.62,120001.0
2021-04-22 02:30:00,871.67,871.67,814.83,817.35,109757.0
2021-04-23 02:30:00,817.98,825.56,808.51,819.88,125239.0
2021-04-26 02:30:00,859.67,859.67,792.72,802.19,165129.0
2021-04-27 02:30:00,789.56,809.14,776.93,780.08,156529.0
2021-04-28 02:30:00,777.56,808.51,777.56,808.51,107440.0
2021-04-29 02:30:00,788.93,821.14,788.93,798.41,83413.0
2021-04-30 02:30:00,799.66,805.35,793.98,802.19,75819.0
2021-05-03 02:30:00,817.98,817.98,799.04,805.35,93567.0
2021-05-04 02:30:00,821.14,823.67,805.35,811.04,117310.0
2021-05-05 02:30:00,820.51,820.51,802.83,804.72,80193.0
2021-05-06 02:30:00,814.83,814.83,799.04,799.66,67433.0
2021-05-07 02:30:00,804.08,804.08,795.87,799.04,60497.0
2021-05-10 02:30:00,799.04,804.72,789.56,795.25,94346.0
2021-05-11 02:30:00,798.41,804.08,792.72,795.87,67445.0
2021-05-12 02:30:00,793.35,804.72,793.35,799.04,95404.0
2021-05-13 02:30:00,799.04,805.35,795.25,797.14,94423.0
2021-05-14 02:30:00,802.19,802.19,795.87,800.3,76245.0
2021-05-17 02:30:00,799.04,821.14,799.04,813.56,165718.0
2021-05-18 02:30:00,820.51,833.77,820.51,826.19,103727.0
2021-05-19 02:30:00,867.25,867.25,823.67,826.19,73064.0
2021-05-20 02:30:00,867.25,867.25,814.83,822.41,103756.0
2021-05-21 02:30:00,846.41,846.41,809.77,821.14,65407.0
2021-05-24 02:30:00,805.35,829.35,805.35,828.73,107284.0
2021-05-25 02:30:00,869.78,869.78,827.46,833.77,127131.0
2021-05-26 02:30:00,812.3,839.46,812.3,824.93,85759.0
2021-05-28 02:30:00,821.14,822.41,809.77,817.35,108286.0
2021-05-31 02:30:00,817.35,831.25,817.35,821.14,90621.0
2021-06-01 02:30:00,821.14,828.73,809.77,811.67,123090.0
2021-06-02 02:30:00,811.67,817.98,805.98,816.09,110156.0
2021-06-03 02:30:00,856.51,856.51,799.04,816.72,60397.0
2021-06-04 02:30:00,792.72,834.41,792.72,826.83,175139.0
2021-06-07 02:30:00,867.88,867.88,833.77,840.09,193387.0
2021-06-08 02:30:00,852.73,852.73,826.19,831.25,148222.0
2021-06-09 02:30:00,825.56,834.41,825.56,830.62,120498.0
2021-06-10 02:30:00,871.67,871.67,814.19,827.46,148864.0
2021-06-11 02:30:00,837.56,837.56,820.51,823.67,132428.0
2021-06-14 02:30:00,824.3,828.73,821.14,823.67,142630.0
2021-06-15 02:30:00,823.67,840.09,821.77,826.83,176408.0
2021-06-16 02:30:00,867.88,867.88,817.98,828.73,110411.0
2021-06-17 02:30:00,828.73,846.41,823.04,826.19,94402.0
2021-06-18 02:30:00,826.19,830.62,821.14,826.83,92288.0
2021-06-21 02:30:00,828.73,828.73,814.83,819.25,117221.0
2021-06-22 02:30:00,821.14,823.67,811.04,811.67,129080.0
2021-06-23 02:30:00,811.67,821.14,808.51,819.88,106023.0
2021-06-24 02:30:00,860.3,860.3,813.56,815.46,94681.0
2021-06-25 02:30:00,821.14,821.14,808.51,812.3,80446.0
2021-06-28 02:30:00,789.56,824.93,789.56,819.88,81126.0
2021-06-29 02:30:00,842.62,842.62,819.25,822.41,66695.0
2021-06-30 02:30:00,827.46,827.46,817.98,818.62,62112.0
2021-07-01 02:30:00,778.19,830.62,778.19,818.62,69882.0
2021-07-02 02:30:00,818.62,824.3,816.72,819.25,41519.0
2021-07-05 02:30:00,821.14,824.3,818.62,819.88,47249.0
2021-07-06 02:30:00,859.04,859.04,817.98,819.25,46953.0
2021-07-07 02:30:00,796.51,823.04,796.51,821.77,68703.0
2021-07-08 02:30:00,826.83,826.83,819.25,820.51,66773.0
2021-07-09 02:30:00,852.73,852.73,819.25,831.88,90493.0
2021-07-12 02:30:00,831.88,854.62,831.88,849.57,192294.0
2021-07-13 02:30:00,884.3,884.3,836.3,845.15,162964.0
2021-07-14 02:30:00,805.35,855.88,805.35,850.83,136946.0
2021-07-15 02:30:00,852.73,857.78,840.09,852.09,101853.0
2021-07-16 02:30:00,852.73,859.67,852.09,858.41,87922.0
2021-07-19 02:30:00,864.09,909.57,864.09,909.57,272476.0
2021-07-20 02:30:00,927.26,943.05,915.89,916.52,226566.0
2021-07-21 02:30:00,934.84,941.16,903.26,918.41,113294.0
2021-07-23 02:30:00,918.41,924.1,915.26,921.58,147151.0
2021-07-26 02:30:00,939.89,947.47,928.52,947.16,171727.0
2021-07-27 02:30:00,947.47,956.95,934.84,942.42,196175.0
2021-07-28 02:30:00,923.59,947.47,905.15,940.52,211397.0
2021-07-29 02:30:00,947.47,947.47,934.84,936.1,84254.0
2021-07-30 02:30:00,936.1,941.16,931.75,932.95,80443.0
2021-08-02 02:30:00,943.68,943.68,926.31,934.84,75284.0
2021-08-03 02:30:00,934.84,944.31,934.52,939.26,59355.0
2021-08-04 02:30:00,947.47,947.47,938.0,941.16,58914.0
2021-08-05 02:30:00,947.47,947.47,939.89,940.46,63649.0
2021-08-06 02:30:00,941.16,946.84,936.17,939.89,54477.0
2021-08-09 02:30:00,940.52,949.37,939.89,943.68,88896.0
2021-08-10 02:30:00,946.84,946.84,941.16,943.68,51624.0
2021-08-11 02:30:00,944.95,961.37,941.16,955.05,131079.0
2021-08-12 02:30:00,960.1,972.73,955.18,956.31,76570.0
2021-08-13 02:30:00,956.31,966.42,940.34,959.48,61561.0
2021-08-16 02:30:00,960.1,963.27,931.68,950.63,247612.0
2021-08-17 02:30:00,969.58,985.37,946.84,952.14,201928.0
2021-08-18 02:30:00,958.84,958.84,940.52,944.31,216309.0
2021-08-19 02:30:00,947.47,950.63,938.0,944.31,119338.0
2021-08-20 02:30:00,947.47,948.1,938.0,941.16,106885.0
2021-08-25 02:30:00,946.84,946.84,932.95,932.95,108363.0
